Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_269_772,VDD,Metal1,453.0400,1078.0000,4.986661
FILLER_269_734,VDD,Metal1,431.7600,1078.0000,4.986663
FILLER_269_702,VDD,Metal1,422.9155,1078.7685,4.986663
FILLER_269_665,VDD,Metal1,392.8400,1078.0000,4.986666
FILLER_269_644,VDD,Metal1,381.0800,1078.0000,4.986680
FILLER_269_640,VDD,Metal1,380.0600,1078.4325,4.986680
FILLER_269_626,VDD,Metal1,372.2200,1078.4325,4.986682
FILLER_269_611,VDD,Metal1,362.8800,1078.0000,4.986685
FILLER_269_562,VDD,Metal1,335.4400,1078.0000,4.986692
FILLER_269_559,VDD,Metal1,333.4800,1078.0000,4.986692
FILLER_269_557,VDD,Metal1,332.6400,1078.0000,4.986692
FILLER_269_553,VDD,Metal1,331.3400,1078.4325,4.986692
FILLER_269_538,VDD,Metal1,322.0000,1078.0000,4.986694
FILLER_269_524,VDD,Metal1,315.1000,1078.4325,4.986694
FILLER_269_488,VDD,Metal1,294.0000,1078.0000,4.986700
FILLER_269_468,VDD,Metal1,282.5200,1078.0000,4.986700
FILLER_269_466,VDD,Metal1,281.6800,1078.0000,4.986701
FILLER_269_455,VDD,Metal1,275.2400,1078.0000,4.986702
FILLER_269_451,VDD,Metal1,274.2200,1078.4325,4.986702
FILLER_269_438,VDD,Metal1,265.7200,1078.0000,4.986704
FILLER_269_436,VDD,Metal1,264.8800,1078.0000,4.986704
FILLER_269_426,VDD,Metal1,259.2800,1078.0000,4.986705
FILLER_269_422,VDD,Metal1,257.9800,1078.4325,4.986705
FILLER_269_411,VDD,Metal1,250.6000,1078.0000,4.986706
FILLER_269_409,VDD,Metal1,249.7600,1078.0000,4.986706
FILLER_269_376,VDD,Metal1,231.2800,1078.0000,4.986707
FILLER_269_352,VDD,Metal1,217.5600,1078.0000,4.986708
FILLER_269_338,VDD,Metal1,210.0000,1078.0000,4.986728
FILLER_269_330,VDD,Metal1,207.7065,1078.5765,4.986728
FILLER_269_314,VDD,Metal1,201.0880,1078.6920,4.986728
FILLER_269_282,VDD,Metal1,187.7155,1078.7685,4.986730
FILLER_269_276,VDD,Metal1,176.2200,1078.4325,4.986730
FILLER_269_268,VDD,Metal1,172.9865,1078.5765,4.986730
FILLER_269_236,VDD,Metal1,161.9555,1078.7685,4.986730
FILLER_269_212,VDD,Metal1,143.9680,1078.6920,4.986730
FILLER_269_206,VDD,Metal1,137.0200,1078.4325,4.986730
FILLER_269_142,VDD,Metal1,118.3150,1078.8140,4.986730
FILLER_269_136,VDD,Metal1,97.8200,1078.4325,4.986730
FILLER_269_72,VDD,Metal1,79.1150,1078.8140,4.986730
FILLER_269_6,VDD,Metal1,42.1550,1078.8140,4.986730
FILLER_268_1907,VDD,Metal1,1088.3600,1078.0000,4.986669
FILLER_268_1905,VDD,Metal1,1087.5200,1078.0000,4.986669
FILLER_268_1897,VDD,Metal1,1085.2265,1077.4230,4.986669
FILLER_268_1865,VDD,Metal1,1074.1955,1077.2310,4.986669
FILLER_268_1857,VDD,Metal1,1060.6400,1078.0000,4.986669
FILLER_268_1851,VDD,Metal1,1058.2200,1077.5675,4.986669
FILLER_268_1787,VDD,Metal1,1039.5150,1077.1855,4.986669
FILLER_268_1781,VDD,Metal1,1019.0200,1077.5675,4.986669
FILLER_268_1717,VDD,Metal1,1000.3150,1077.1855,4.986669
FILLER_268_1714,VDD,Metal1,980.2800,1078.0000,4.986669
FILLER_268_1712,VDD,Metal1,979.4400,1078.0000,4.986669
FILLER_268_1704,VDD,Metal1,977.1465,1077.4230,4.986669
FILLER_268_1688,VDD,Metal1,970.5280,1077.3080,4.986669
FILLER_268_1656,VDD,Metal1,957.1555,1077.2310,4.986669
FILLER_268_1632,VDD,Metal1,934.3600,1078.0000,4.986668
FILLER_268_1630,VDD,Metal1,933.5200,1078.0000,4.986667
FILLER_268_1622,VDD,Metal1,931.2265,1077.4230,4.986667
FILLER_268_1610,VDD,Metal1,922.3200,1078.0000,4.986661
FILLER_268_1606,VDD,Metal1,921.0200,1077.5675,4.986661
FILLER_268_1595,VDD,Metal1,913.6400,1078.0000,4.986658
FILLER_268_1593,VDD,Metal1,912.8000,1078.0000,4.986658
FILLER_268_1577,VDD,Metal1,904.7800,1077.5675,4.986657
FILLER_268_1573,VDD,Metal1,901.6000,1078.0000,4.986657
FILLER_268_1504,VDD,Metal1,862.6800,1078.0000,4.986654
FILLER_268_1502,VDD,Metal1,861.8400,1078.0000,4.986654
FILLER_268_1498,VDD,Metal1,860.5400,1077.5675,4.986654
FILLER_268_1481,VDD,Metal1,850.0800,1078.0000,4.986652
FILLER_268_1477,VDD,Metal1,848.7800,1077.5675,4.986652
FILLER_268_1469,VDD,Metal1,845.5465,1077.4230,4.986652
FILLER_268_1437,VDD,Metal1,834.5155,1077.2310,4.986652
FILLER_268_1434,VDD,Metal1,823.4800,1078.0000,4.986652
FILLER_268_1432,VDD,Metal1,822.6400,1078.0000,4.986652
FILLER_268_1384,VDD,Metal1,796.7000,1077.5675,4.986652
FILLER_268_1376,VDD,Metal1,793.4665,1077.4230,4.986652
